figure,series,pixel_x,pixel_y,voltage_V,current_mA
fig11c_device,red_exp,100,19,-1.6064593301435406,0.3377049180327869
fig11c_device,red_exp,101,19,-1.598086124401914,0.3377049180327869
fig11c_device,red_exp,102,19,-1.589712918660287,0.3377049180327869
fig11c_device,red_exp,434,31,1.1901913875598087,0.2983606557377049
fig11c_device,red_exp,440,31,1.2404306220095696,0.2983606557377049
fig11c_device,red_exp,440,32,1.2404306220095696,0.29508196721311475
fig11c_device,red_exp,440,33,1.2404306220095696,0.2918032786885246
fig11c_device,red_exp,429,34,1.1483253588516749,0.28852459016393445
fig11c_device,red_exp,438,34,1.223684210526316,0.28852459016393445
fig11c_device,red_exp,439,34,1.232057416267943,0.28852459016393445
fig11c_device,red_exp,427,35,1.1315789473684212,0.28524590163934427
fig11c_device,red_exp,436,35,1.2069377990430619,0.28524590163934427
fig11c_device,red_exp,435,36,1.1985645933014353,0.28196721311475414
fig11c_device,red_exp,434,37,1.1901913875598087,0.27868852459016397
fig11c_device,red_exp,418,40,1.0562200956937797,0.26885245901639343
fig11c_device,red_exp,431,41,1.165071770334928,0.2655737704918033
fig11c_device,red_exp,432,41,1.173444976076555,0.2655737704918033
fig11c_device,red_exp,433,41,1.1818181818181817,0.2655737704918033
fig11c_device,red_exp,430,42,1.1566985645933014,0.26229508196721313
fig11c_device,red_exp,429,43,1.1483253588516749,0.25901639344262295
fig11c_device,red_exp,428,44,1.1399521531100478,0.2557377049180328
fig11c_device,red_exp,426,45,1.1232057416267942,0.25245901639344265
fig11c_device,red_exp,427,45,1.1315789473684212,0.25245901639344265
fig11c_device,red_exp,424,46,1.1064593301435406,0.24918032786885247
fig11c_device,red_exp,425,46,1.1148325358851672,0.24918032786885247
fig11c_device,red_exp,423,47,1.0980861244019136,0.24590163934426232
fig11c_device,red_exp,422,48,1.089712918660287,0.24262295081967214
fig11c_device,red_exp,421,49,1.0813397129186604,0.239344262295082
fig11c_device,red_exp,420,50,1.0729665071770333,0.23606557377049184
fig11c_device,red_exp,419,51,1.0645933014354068,0.23278688524590166
fig11c_device,red_exp,418,52,1.0562200956937797,0.2295081967213115
fig11c_device,red_exp,412,54,1.0059808612440193,0.22295081967213118
fig11c_device,red_exp,411,55,0.9976076555023923,0.219672131147541
fig11c_device,red_exp,410,56,0.9892344497607652,0.21639344262295085
fig11c_device,red_exp,409,57,0.9808612440191387,0.21311475409836067
fig11c_device,red_exp,408,58,0.9724880382775121,0.20983606557377052
fig11c_device,red_exp,408,59,0.9724880382775121,0.20655737704918034
fig11c_device,red_exp,390,60,0.8217703349282299,0.2032786885245902
fig11c_device,red_exp,407,60,0.964114832535885,0.2032786885245902
fig11c_device,red_exp,407,61,0.964114832535885,0.2
fig11c_device,red_exp,407,62,0.964114832535885,0.19672131147540986
fig11c_device,red_exp,406,63,0.9557416267942584,0.19344262295081968
fig11c_device,red_exp,383,64,0.763157894736842,0.19016393442622953
fig11c_device,red_exp,405,64,0.9473684210526314,0.19016393442622953
fig11c_device,red_exp,381,65,0.7464114832535884,0.18688524590163938
fig11c_device,red_exp,401,65,0.9138755980861246,0.18688524590163938
fig11c_device,red_exp,402,65,0.9222488038277512,0.18688524590163938
fig11c_device,red_exp,403,65,0.9306220095693782,0.18688524590163938
fig11c_device,red_exp,404,65,0.9389952153110048,0.18688524590163938
fig11c_device,red_exp,379,66,0.7296650717703348,0.1836065573770492
fig11c_device,red_exp,400,66,0.9055023923444976,0.1836065573770492
fig11c_device,red_exp,377,67,0.7129186602870816,0.18032786885245905
fig11c_device,red_exp,399,67,0.8971291866028706,0.18032786885245905
fig11c_device,red_exp,397,68,0.8803827751196169,0.17704918032786887
fig11c_device,red_exp,398,68,0.888755980861244,0.17704918032786887
fig11c_device,red_exp,395,69,0.8636363636363638,0.17377049180327872
fig11c_device,red_exp,396,69,0.8720095693779903,0.17377049180327872
fig11c_device,red_exp,370,71,0.6543062200956937,0.1672131147540984
fig11c_device,red_exp,368,72,0.6375598086124401,0.1639344262295082
fig11c_device,red_exp,366,73,0.6208133971291865,0.16065573770491806
fig11c_device,red_exp,359,77,0.562200956937799,0.14754098360655737
fig11c_device,red_exp,394,77,0.8552631578947367,0.14754098360655737
fig11c_device,red_exp,357,78,0.5454545454545454,0.14426229508196725
fig11c_device,red_exp,393,78,0.8468899521531101,0.14426229508196725
fig11c_device,red_exp,355,79,0.5287081339712918,0.14098360655737707
fig11c_device,red_exp,391,79,0.8301435406698565,0.14098360655737707
fig11c_device,red_exp,392,79,0.8385167464114831,0.14098360655737707
fig11c_device,red_exp,389,80,0.8133971291866029,0.1377049180327869
