figure,series,pixel_x,pixel_y,voltage_V,current_mA
fig11d_device,red_exp,403,33,0.9306220095693782,0.27016393442622955
fig11d_device,red_exp,404,33,0.9389952153110048,0.27016393442622955
fig11d_device,red_exp,411,33,0.9976076555023923,0.27016393442622955
fig11d_device,red_exp,412,33,1.0059808612440193,0.27016393442622955
fig11d_device,red_exp,413,33,1.0143540669856463,0.27016393442622955
fig11d_device,red_exp,401,34,0.9138755980861246,0.2662295081967213
fig11d_device,red_exp,402,34,0.9222488038277512,0.2662295081967213
fig11d_device,red_exp,399,35,0.8971291866028706,0.2622950819672131
fig11d_device,red_exp,400,35,0.9055023923444976,0.2622950819672131
fig11d_device,red_exp,396,36,0.8720095693779903,0.25836065573770495
fig11d_device,red_exp,397,36,0.8803827751196169,0.25836065573770495
fig11d_device,red_exp,398,36,0.888755980861244,0.25836065573770495
fig11d_device,red_exp,395,37,0.8636363636363638,0.2544262295081967
fig11d_device,red_exp,393,38,0.8468899521531101,0.25049180327868853
fig11d_device,red_exp,394,38,0.8552631578947367,0.25049180327868853
fig11d_device,red_exp,391,39,0.8301435406698565,0.24655737704918035
fig11d_device,red_exp,392,39,0.8385167464114831,0.24655737704918035
fig11d_device,red_exp,388,40,0.8050239234449763,0.2426229508196721
fig11d_device,red_exp,389,40,0.8133971291866029,0.2426229508196721
fig11d_device,red_exp,390,40,0.8217703349282299,0.2426229508196721
fig11d_device,red_exp,386,41,0.7882775119617227,0.23868852459016393
fig11d_device,red_exp,380,44,0.7380382775119618,0.22688524590163933
fig11d_device,red_exp,388,44,0.8050239234449763,0.22688524590163933
fig11d_device,red_exp,386,50,0.7882775119617227,0.20327868852459016
fig11d_device,red_exp,387,51,0.7966507177033493,0.19934426229508195
fig11d_device,red_exp,388,51,0.8050239234449763,0.19934426229508195
fig11d_device,red_exp,382,53,0.7547846889952154,0.19147540983606556
fig11d_device,red_exp,383,53,0.763157894736842,0.19147540983606556
fig11d_device,red_exp,384,53,0.7715311004784686,0.19147540983606556
fig11d_device,red_exp,380,54,0.7380382775119618,0.18754098360655738
fig11d_device,red_exp,381,54,0.7464114832535884,0.18754098360655738
fig11d_device,red_exp,379,55,0.7296650717703348,0.18360655737704917
fig11d_device,red_exp,377,56,0.7129186602870816,0.179672131147541
fig11d_device,red_exp,378,56,0.7212918660287082,0.179672131147541
fig11d_device,red_exp,375,57,0.696172248803828,0.17573770491803276
fig11d_device,red_exp,376,57,0.7045454545454546,0.17573770491803276
fig11d_device,red_exp,373,59,0.6794258373205739,0.16786885245901637
fig11d_device,red_exp,370,60,0.6543062200956937,0.16393442622950818
fig11d_device,red_exp,368,61,0.6375598086124401,0.15999999999999998
fig11d_device,red_exp,363,69,0.5956937799043063,0.12852459016393442
fig11d_device,red_exp,364,69,0.6040669856459333,0.12852459016393442
fig11d_device,red_exp,359,70,0.562200956937799,0.12459016393442618
fig11d_device,red_exp,360,70,0.5705741626794261,0.12459016393442618
fig11d_device,red_exp,361,70,0.5789473684210527,0.12459016393442618
fig11d_device,red_exp,362,70,0.5873205741626797,0.12459016393442618
fig11d_device,red_exp,357,71,0.5454545454545454,0.120655737704918
fig11d_device,red_exp,358,71,0.553827751196172,0.120655737704918
fig11d_device,red_exp,323,72,0.26076555023923476,0.11672131147540982
fig11d_device,red_exp,354,72,0.5203349282296652,0.11672131147540982
fig11d_device,red_exp,355,72,0.5287081339712918,0.11672131147540982
fig11d_device,red_exp,356,72,0.5370813397129184,0.11672131147540982
fig11d_device,red_exp,321,73,0.2440191387559807,0.11278688524590164
fig11d_device,red_exp,352,73,0.5035885167464116,0.11278688524590164
fig11d_device,red_exp,353,73,0.5119617224880382,0.11278688524590164
fig11d_device,red_exp,319,74,0.22727272727272707,0.1088524590163934
fig11d_device,red_exp,349,74,0.4784688995215314,0.1088524590163934
fig11d_device,red_exp,350,74,0.48684210526315796,0.1088524590163934
fig11d_device,red_exp,317,75,0.21052631578947345,0.10491803278688522
fig11d_device,red_exp,347,75,0.4617224880382773,0.10491803278688522
fig11d_device,red_exp,315,76,0.19377990430622027,0.10098360655737704
fig11d_device,red_exp,344,76,0.4366028708133971,0.10098360655737704
fig11d_device,red_exp,345,76,0.4449760765550237,0.10098360655737704
fig11d_device,red_exp,341,77,0.4114832535885169,0.0970491803278688
fig11d_device,red_exp,342,77,0.4198564593301435,0.0970491803278688
fig11d_device,red_exp,343,77,0.42822966507177007,0.0970491803278688
fig11d_device,red_exp,311,78,0.16028708133971303,0.09311475409836067
fig11d_device,red_exp,340,78,0.40311004784688986,0.09311475409836067
fig11d_device,red_exp,336,79,0.36961722488038307,0.08918032786885244
fig11d_device,red_exp,333,80,0.3444976076555024,0.0852459016393442
fig11d_device,red_exp,334,80,0.35287081339712945,0.0852459016393442
fig11d_device,red_exp,335,80,0.36124401913875603,0.0852459016393442
fig11d_device,red_exp,305,81,0.11004784688995217,0.08131147540983608
fig11d_device,red_exp,324,83,0.26913875598086134,0.07344262295081966
fig11d_device,red_exp,321,84,0.2440191387559807,0.06950819672131142
fig11d_device,red_exp,322,84,0.2523923444976077,0.06950819672131142
fig11d_device,red_exp,318,85,0.21889952153110048,0.0655737704918033
fig11d_device,red_exp,315,86,0.19377990430622027,0.06163934426229506
fig11d_device,red_exp,312,87,0.16866028708133962,0.05770491803278682
fig11d_device,red_exp,308,88,0.13516746411483282,0.05377049180327864
fig11d_device,red_exp,284,95,-0.0657894736842104,0.026229508196721263
fig11d_device,red_exp,231,110,-0.5095693779904307,-0.032786885245901676
fig11d_device,red_exp,228,111,-0.5346889952153109,-0.03672131147540991
fig11d_device,red_exp,225,112,-0.5598086124401915,-0.04065573770491804
fig11d_device,red_exp,222,113,-0.5849282296650717,-0.044590163934426275
fig11d_device,red_exp,218,114,-0.618421052631579,-0.04852459016393451
fig11d_device,red_exp,219,114,-0.6100478468899522,-0.04852459016393451
fig11d_device,red_exp,215,115,-0.6435406698564592,-0.05245901639344264
fig11d_device,red_exp,216,115,-0.6351674641148326,-0.05245901639344264
fig11d_device,red_exp,212,116,-0.6686602870813398,-0.05639344262295087
fig11d_device,red_exp,213,116,-0.660287081339713,-0.05639344262295087
fig11d_device,red_exp,214,116,-0.651913875598086,-0.05639344262295087
fig11d_device,red_exp,209,117,-0.69377990430622,-0.060327868852459055
fig11d_device,red_exp,210,117,-0.6854066985645932,-0.060327868852459055
fig11d_device,red_exp,211,117,-0.6770334928229667,-0.060327868852459055
