figure,series,pixel_x,pixel_y,voltage_V,current_mA
fig13_generalized_model,red_exp,727,24,1.3684563758389263,0.2624347826086956
fig13_generalized_model,red_exp,747,24,1.4624161073825501,0.2624347826086956
fig13_generalized_model,red_exp,746,25,1.457718120805369,0.2608695652173913
fig13_generalized_model,red_exp,724,26,1.3543624161073824,0.25930434782608697
fig13_generalized_model,red_exp,746,26,1.457718120805369,0.25930434782608697
fig13_generalized_model,red_exp,722,27,1.3449664429530204,0.2577391304347826
fig13_generalized_model,red_exp,723,27,1.3496644295302014,0.2577391304347826
fig13_generalized_model,red_exp,745,27,1.453020134228188,0.2577391304347826
fig13_generalized_model,red_exp,721,28,1.340268456375839,0.25617391304347825
fig13_generalized_model,red_exp,744,28,1.448322147651007,0.25617391304347825
fig13_generalized_model,red_exp,720,29,1.3355704697986575,0.2546086956521739
fig13_generalized_model,red_exp,743,29,1.4436241610738252,0.2546086956521739
fig13_generalized_model,red_exp,32,30,-1.8966442953020135,0.2530434782608696
fig13_generalized_model,red_exp,33,30,-1.8919463087248323,0.2530434782608696
fig13_generalized_model,red_exp,719,30,1.3308724832214764,0.2530434782608696
fig13_generalized_model,red_exp,742,30,1.4389261744966442,0.2530434782608696
fig13_generalized_model,red_exp,17,31,-1.9671140939597316,0.2514782608695652
fig13_generalized_model,red_exp,18,31,-1.9624161073825503,0.2514782608695652
fig13_generalized_model,red_exp,19,31,-1.957718120805369,0.2514782608695652
fig13_generalized_model,red_exp,20,31,-1.9530201342281879,0.2514782608695652
fig13_generalized_model,red_exp,21,31,-1.9483221476510066,0.2514782608695652
fig13_generalized_model,red_exp,22,31,-1.9436241610738254,0.2514782608695652
fig13_generalized_model,red_exp,23,31,-1.9389261744966444,0.2514782608695652
fig13_generalized_model,red_exp,24,31,-1.9342281879194632,0.2514782608695652
fig13_generalized_model,red_exp,25,31,-1.929530201342282,0.2514782608695652
fig13_generalized_model,red_exp,26,31,-1.9248322147651007,0.2514782608695652
fig13_generalized_model,red_exp,27,31,-1.9201342281879195,0.2514782608695652
fig13_generalized_model,red_exp,28,31,-1.9154362416107382,0.2514782608695652
fig13_generalized_model,red_exp,29,31,-1.910738255033557,0.2514782608695652
fig13_generalized_model,red_exp,30,31,-1.9060402684563758,0.2514782608695652
fig13_generalized_model,red_exp,31,31,-1.9013422818791947,0.2514782608695652
fig13_generalized_model,red_exp,717,31,1.3214765100671144,0.2514782608695652
fig13_generalized_model,red_exp,718,31,1.3261744966442954,0.2514782608695652
fig13_generalized_model,red_exp,741,31,1.4342281879194632,0.2514782608695652
fig13_generalized_model,red_exp,716,32,1.316778523489933,0.24991304347826088
fig13_generalized_model,red_exp,740,32,1.4295302013422821,0.24991304347826088
fig13_generalized_model,red_exp,715,33,1.3120805369127515,0.24834782608695652
fig13_generalized_model,red_exp,739,33,1.4248322147651007,0.24834782608695652
fig13_generalized_model,red_exp,713,34,1.3026845637583895,0.24678260869565216
fig13_generalized_model,red_exp,714,34,1.3073825503355705,0.24678260869565216
fig13_generalized_model,red_exp,737,34,1.4154362416107382,0.24678260869565216
fig13_generalized_model,red_exp,738,34,1.4201342281879192,0.24678260869565216
fig13_generalized_model,red_exp,712,35,1.297986577181208,0.24521739130434783
fig13_generalized_model,red_exp,736,35,1.4107382550335572,0.24521739130434783
fig13_generalized_model,red_exp,710,36,1.2885906040268456,0.24365217391304347
fig13_generalized_model,red_exp,711,36,1.2932885906040266,0.24365217391304347
fig13_generalized_model,red_exp,735,36,1.4060402684563762,0.24365217391304347
fig13_generalized_model,red_exp,709,37,1.2838926174496645,0.24208695652173912
fig13_generalized_model,red_exp,733,37,1.3966442953020133,0.24208695652173912
fig13_generalized_model,red_exp,734,37,1.4013422818791943,0.24208695652173912
fig13_generalized_model,red_exp,707,38,1.274496644295302,0.2405217391304348
fig13_generalized_model,red_exp,708,38,1.2791946308724835,0.2405217391304348
fig13_generalized_model,red_exp,731,38,1.3872483221476513,0.2405217391304348
fig13_generalized_model,red_exp,732,38,1.3919463087248323,0.2405217391304348
fig13_generalized_model,red_exp,706,39,1.2697986577181206,0.23895652173913043
fig13_generalized_model,red_exp,730,39,1.3825503355704698,0.23895652173913043
fig13_generalized_model,red_exp,705,40,1.2651006711409396,0.23739130434782607
fig13_generalized_model,red_exp,729,40,1.3778523489932883,0.23739130434782607
fig13_generalized_model,red_exp,703,41,1.2557046979865771,0.23582608695652174
fig13_generalized_model,red_exp,704,41,1.2604026845637586,0.23582608695652174
fig13_generalized_model,red_exp,728,41,1.3731543624161073,0.23582608695652174
fig13_generalized_model,red_exp,702,42,1.2510067114093957,0.23426086956521738
fig13_generalized_model,red_exp,727,42,1.3684563758389263,0.23426086956521738
fig13_generalized_model,red_exp,701,43,1.2463087248322147,0.23269565217391303
fig13_generalized_model,red_exp,726,43,1.3637583892617453,0.23269565217391303
fig13_generalized_model,red_exp,699,44,1.2369127516778526,0.2311304347826087
fig13_generalized_model,red_exp,700,44,1.2416107382550337,0.2311304347826087
