figure,series,pixel_x,pixel_y,voltage_V,current_mA
fig16_tio2x,red_exp,738,14,1.5005945303210462,0.14087523277467412
fig16_tio2x,red_exp,747,14,1.5434007134363852,0.14087523277467412
fig16_tio2x,red_exp,739,15,1.5053507728894173,0.14022346368715083
fig16_tio2x,red_exp,746,15,1.5386444708680145,0.14022346368715083
fig16_tio2x,red_exp,739,16,1.5053507728894173,0.13957169459962757
fig16_tio2x,red_exp,745,16,1.5338882282996433,0.13957169459962757
fig16_tio2x,red_exp,740,17,1.5101070154577885,0.13891992551210428
fig16_tio2x,red_exp,744,17,1.5291319857312722,0.13891992551210428
fig16_tio2x,red_exp,741,18,1.5148632580261592,0.138268156424581
fig16_tio2x,red_exp,742,18,1.5196195005945303,0.138268156424581
fig16_tio2x,red_exp,743,18,1.5243757431629015,0.138268156424581
fig16_tio2x,red_exp,741,19,1.5148632580261592,0.13761638733705772
fig16_tio2x,red_exp,742,19,1.5196195005945303,0.13761638733705772
fig16_tio2x,red_exp,740,20,1.5101070154577885,0.13696461824953443
fig16_tio2x,red_exp,743,20,1.5243757431629015,0.13696461824953443
fig16_tio2x,red_exp,740,21,1.5101070154577885,0.13631284916201117
fig16_tio2x,red_exp,744,21,1.5291319857312722,0.13631284916201117
fig16_tio2x,red_exp,745,21,1.5338882282996433,0.13631284916201117
fig16_tio2x,red_exp,739,22,1.5053507728894173,0.1356610800744879
fig16_tio2x,red_exp,746,22,1.5386444708680145,0.1356610800744879
fig16_tio2x,red_exp,738,23,1.5005945303210462,0.13500931098696461
fig16_tio2x,red_exp,747,23,1.5434007134363852,0.13500931098696461
fig16_tio2x,red_exp,557,47,0.6397146254458979,0.11936685288640596
fig16_tio2x,red_exp,547,48,0.5921521997621877,0.11871508379888268
fig16_tio2x,red_exp,556,48,0.6349583828775267,0.11871508379888268
fig16_tio2x,red_exp,548,49,0.5969084423305588,0.11806331471135939
fig16_tio2x,red_exp,556,49,0.6349583828775267,0.11806331471135939
fig16_tio2x,red_exp,549,50,0.60166468489893,0.11741154562383613
fig16_tio2x,red_exp,555,50,0.6302021403091556,0.11741154562383613
fig16_tio2x,red_exp,550,51,0.6064209274673007,0.11675977653631284
fig16_tio2x,red_exp,554,51,0.6254458977407849,0.11675977653631284
fig16_tio2x,red_exp,551,52,0.6111771700356718,0.11610800744878957
fig16_tio2x,red_exp,552,52,0.615933412604043,0.11610800744878957
fig16_tio2x,red_exp,553,52,0.6206896551724137,0.11610800744878957
fig16_tio2x,red_exp,551,53,0.6111771700356718,0.11545623836126628
fig16_tio2x,red_exp,552,53,0.615933412604043,0.11545623836126628
fig16_tio2x,red_exp,550,54,0.6064209274673007,0.11480446927374302
fig16_tio2x,red_exp,553,54,0.6206896551724137,0.11480446927374302
fig16_tio2x,red_exp,550,55,0.6064209274673007,0.11415270018621973
fig16_tio2x,red_exp,554,55,0.6254458977407849,0.11415270018621973
fig16_tio2x,red_exp,549,56,0.60166468489893,0.11350093109869647
fig16_tio2x,red_exp,555,56,0.6302021403091556,0.11350093109869647
fig16_tio2x,red_exp,547,57,0.5921521997621877,0.11284916201117318
fig16_tio2x,red_exp,548,57,0.5969084423305588,0.11284916201117318
fig16_tio2x,red_exp,556,57,0.6349583828775267,0.11284916201117318
fig16_tio2x,red_exp,536,109,0.5398335315101068,0.07895716945996276
fig16_tio2x,red_exp,526,110,0.4922711058263971,0.07830540037243948
fig16_tio2x,red_exp,535,110,0.5350772889417361,0.07830540037243948
fig16_tio2x,red_exp,527,111,0.49702734839476825,0.0776536312849162
fig16_tio2x,red_exp,534,111,0.530321046373365,0.0776536312849162
fig16_tio2x,red_exp,528,112,0.501783590963139,0.07700186219739293
fig16_tio2x,red_exp,533,112,0.5255648038049943,0.07700186219739293
fig16_tio2x,red_exp,529,113,0.5065398335315101,0.07635009310986965
fig16_tio2x,red_exp,532,113,0.5208085612366231,0.07635009310986965
fig16_tio2x,red_exp,530,114,0.5112960760998813,0.07569832402234637
fig16_tio2x,red_exp,531,114,0.516052318668252,0.07569832402234637
fig16_tio2x,red_exp,529,115,0.5065398335315101,0.0750465549348231
fig16_tio2x,red_exp,530,115,0.5112960760998813,0.0750465549348231
fig16_tio2x,red_exp,531,115,0.516052318668252,0.0750465549348231
fig16_tio2x,red_exp,529,116,0.5065398335315101,0.07439478584729982
fig16_tio2x,red_exp,532,116,0.5208085612366231,0.07439478584729982
fig16_tio2x,red_exp,528,117,0.501783590963139,0.07374301675977654
fig16_tio2x,red_exp,533,117,0.5255648038049943,0.07374301675977654
fig16_tio2x,red_exp,527,118,0.49702734839476825,0.07309124767225327
fig16_tio2x,red_exp,534,118,0.530321046373365,0.07309124767225327
fig16_tio2x,red_exp,526,119,0.4922711058263971,0.07243947858472999
fig16_tio2x,red_exp,535,119,0.5350772889417361,0.07243947858472999
fig16_tio2x,red_exp,716,132,1.3959571938168849,0.06396648044692738
fig16_tio2x,red_exp,726,132,1.4435196195005946,0.06396648044692738
fig16_tio2x,red_exp,717,133,1.4007134363852556,0.0633147113594041
fig16_tio2x,red_exp,725,133,1.4387633769322234,0.0633147113594041
fig16_tio2x,red_exp,718,134,1.4054696789536267,0.06266294227188082
fig16_tio2x,red_exp,724,134,1.4340071343638527,0.06266294227188082
fig16_tio2x,red_exp,719,135,1.4102259215219974,0.06201117318435753
fig16_tio2x,red_exp,723,135,1.4292508917954816,0.06201117318435753
fig16_tio2x,red_exp,719,136,1.4102259215219974,0.061359404096834255
fig16_tio2x,red_exp,720,136,1.4149821640903686,0.061359404096834255
