figure,series,pixel_x,pixel_y,voltage_V,current_mA
fig11b_device,red_exp,394,43,0.8552631578947367,0.25901639344262295
fig11b_device,red_exp,393,44,0.8468899521531101,0.2557377049180328
fig11b_device,red_exp,404,44,0.9389952153110048,0.2557377049180328
fig11b_device,red_exp,405,44,0.9473684210526314,0.2557377049180328
fig11b_device,red_exp,406,44,0.9557416267942584,0.2557377049180328
fig11b_device,red_exp,407,44,0.964114832535885,0.2557377049180328
fig11b_device,red_exp,408,44,0.9724880382775121,0.2557377049180328
fig11b_device,red_exp,409,44,0.9808612440191387,0.2557377049180328
fig11b_device,red_exp,410,44,0.9892344497607652,0.2557377049180328
fig11b_device,red_exp,411,44,0.9976076555023923,0.2557377049180328
fig11b_device,red_exp,412,44,1.0059808612440193,0.2557377049180328
fig11b_device,red_exp,401,45,0.9138755980861246,0.25245901639344265
fig11b_device,red_exp,402,45,0.9222488038277512,0.25245901639344265
fig11b_device,red_exp,403,45,0.9306220095693782,0.25245901639344265
fig11b_device,red_exp,400,46,0.9055023923444976,0.24918032786885247
fig11b_device,red_exp,399,47,0.8971291866028706,0.24590163934426232
fig11b_device,red_exp,398,48,0.888755980861244,0.24262295081967214
fig11b_device,red_exp,397,49,0.8803827751196169,0.239344262295082
fig11b_device,red_exp,395,50,0.8636363636363638,0.23606557377049184
fig11b_device,red_exp,396,50,0.8720095693779903,0.23606557377049184
fig11b_device,red_exp,394,51,0.8552631578947367,0.23278688524590166
fig11b_device,red_exp,393,52,0.8468899521531101,0.2295081967213115
fig11b_device,red_exp,392,53,0.8385167464114831,0.22622950819672133
fig11b_device,red_exp,391,54,0.8301435406698565,0.22295081967213118
fig11b_device,red_exp,390,55,0.8217703349282299,0.219672131147541
fig11b_device,red_exp,389,56,0.8133971291866029,0.21639344262295085
fig11b_device,red_exp,388,57,0.8050239234449763,0.21311475409836067
fig11b_device,red_exp,387,58,0.7966507177033493,0.20983606557377052
fig11b_device,red_exp,387,59,0.7966507177033493,0.20655737704918034
fig11b_device,red_exp,386,61,0.7882775119617227,0.2
fig11b_device,red_exp,381,62,0.7464114832535884,0.19672131147540986
fig11b_device,red_exp,381,63,0.7464114832535884,0.19344262295081968
fig11b_device,red_exp,380,64,0.7380382775119618,0.19016393442622953
fig11b_device,red_exp,379,65,0.7296650717703348,0.18688524590163938
fig11b_device,red_exp,379,66,0.7296650717703348,0.1836065573770492
fig11b_device,red_exp,378,67,0.7212918660287082,0.18032786885245905
fig11b_device,red_exp,376,68,0.7045454545454546,0.17704918032786887
fig11b_device,red_exp,377,68,0.7129186602870816,0.17704918032786887
fig11b_device,red_exp,375,69,0.696172248803828,0.17377049180327872
fig11b_device,red_exp,373,70,0.6794258373205739,0.17049180327868854
fig11b_device,red_exp,374,70,0.687799043062201,0.17049180327868854
fig11b_device,red_exp,372,71,0.6710526315789473,0.1672131147540984
fig11b_device,red_exp,354,72,0.5203349282296652,0.1639344262295082
fig11b_device,red_exp,370,72,0.6543062200956937,0.1639344262295082
fig11b_device,red_exp,371,72,0.6626794258373203,0.1639344262295082
fig11b_device,red_exp,369,73,0.6459330143540667,0.16065573770491806
fig11b_device,red_exp,368,74,0.6375598086124401,0.15737704918032788
fig11b_device,red_exp,349,75,0.4784688995215314,0.15409836065573773
fig11b_device,red_exp,367,75,0.6291866028708135,0.15409836065573773
fig11b_device,red_exp,367,76,0.6291866028708135,0.15081967213114755
fig11b_device,red_exp,366,77,0.6208133971291865,0.14754098360655737
fig11b_device,red_exp,344,78,0.4366028708133971,0.14426229508196725
fig11b_device,red_exp,339,81,0.3947368421052633,0.13442622950819677
fig11b_device,red_exp,334,84,0.35287081339712945,0.12459016393442623
fig11b_device,red_exp,329,87,0.3110047846889952,0.11475409836065575
fig11b_device,red_exp,324,90,0.26913875598086134,0.10491803278688527
fig11b_device,red_exp,317,94,0.21052631578947345,0.09180327868852461
fig11b_device,red_exp,364,95,0.6040669856459333,0.08852459016393444
fig11b_device,red_exp,314,96,0.18540669856459324,0.08524590163934426
fig11b_device,red_exp,364,96,0.6040669856459333,0.08524590163934426
fig11b_device,red_exp,312,97,0.16866028708133962,0.08196721311475413
fig11b_device,red_exp,363,97,0.5956937799043063,0.08196721311475413
fig11b_device,red_exp,307,100,0.1267942583732058,0.07213114754098365
fig11b_device,red_exp,302,103,0.08492822966507196,0.06229508196721312
fig11b_device,red_exp,297,106,0.043062200956938135,0.05245901639344264
fig11b_device,red_exp,361,107,0.5789473684210527,0.04918032786885246
fig11b_device,red_exp,362,107,0.5873205741626797,0.04918032786885246
fig11b_device,red_exp,358,108,0.553827751196172,0.045901639344262335
fig11b_device,red_exp,359,108,0.562200956937799,0.045901639344262335
fig11b_device,red_exp,360,108,0.5705741626794261,0.045901639344262335
fig11b_device,red_exp,292,109,0.0011961722488038617,0.042622950819672156
fig11b_device,red_exp,355,109,0.5287081339712918,0.042622950819672156
fig11b_device,red_exp,356,109,0.5370813397129184,0.042622950819672156
fig11b_device,red_exp,352,110,0.5035885167464116,0.03934426229508198
fig11b_device,red_exp,353,110,0.5119617224880382,0.03934426229508198
fig11b_device,red_exp,354,110,0.5203349282296652,0.03934426229508198
fig11b_device,red_exp,348,111,0.47009569377990434,0.0360655737704918
fig11b_device,red_exp,349,111,0.4784688995215314,0.0360655737704918
fig11b_device,red_exp,350,111,0.48684210526315796,0.0360655737704918
fig11b_device,red_exp,351,111,0.49521531100478455,0.0360655737704918
fig11b_device,red_exp,345,112,0.4449760765550237,0.032786885245901676
fig11b_device,red_exp,346,112,0.4533492822966507,0.032786885245901676
fig11b_device,red_exp,347,112,0.4617224880382773,0.032786885245901676
fig11b_device,red_exp,341,113,0.4114832535885169,0.029508196721311497
fig11b_device,red_exp,342,113,0.4198564593301435,0.029508196721311497
fig11b_device,red_exp,343,113,0.42822966507177007,0.029508196721311497
fig11b_device,red_exp,344,113,0.4366028708133971,0.029508196721311497
fig11b_device,red_exp,337,114,0.37799043062200965,0.02622950819672132
fig11b_device,red_exp,338,114,0.38636363636363624,0.02622950819672132
fig11b_device,red_exp,339,114,0.3947368421052633,0.02622950819672132
fig11b_device,red_exp,340,114,0.40311004784688986,0.02622950819672132
fig11b_device,red_exp,332,115,0.3361244019138754,0.022950819672131195
fig11b_device,red_exp,333,115,0.3444976076555024,0.022950819672131195
fig11b_device,red_exp,334,115,0.35287081339712945,0.022950819672131195
fig11b_device,red_exp,335,115,0.36124401913875603,0.022950819672131195
fig11b_device,red_exp,336,115,0.36961722488038307,0.022950819672131195
fig11b_device,red_exp,328,116,0.3026315789473686,0.019672131147541017
fig11b_device,red_exp,329,116,0.3110047846889952,0.019672131147541017
fig11b_device,red_exp,330,116,0.31937799043062176,0.019672131147541017
fig11b_device,red_exp,331,116,0.3277511961722488,0.019672131147541017
fig11b_device,red_exp,322,117,0.2523923444976077,0.016393442622950838
fig11b_device,red_exp,323,117,0.26076555023923476,0.016393442622950838
fig11b_device,red_exp,324,117,0.26913875598086134,0.016393442622950838
fig11b_device,red_exp,325,117,0.27751196172248793,0.016393442622950838
fig11b_device,red_exp,326,117,0.28588516746411496,0.016393442622950838
fig11b_device,red_exp,327,117,0.29425837320574155,0.016393442622950838
fig11b_device,red_exp,317,118,0.21052631578947345,0.01311475409836066
fig11b_device,red_exp,318,118,0.21889952153110048,0.01311475409836066
fig11b_device,red_exp,319,118,0.22727272727272707,0.01311475409836066
fig11b_device,red_exp,320,118,0.23564593301435366,0.01311475409836066
fig11b_device,red_exp,321,118,0.2440191387559807,0.01311475409836066
fig11b_device,red_exp,311,119,0.16028708133971303,0.009836065573770536
fig11b_device,red_exp,312,119,0.16866028708133962,0.009836065573770536
fig11b_device,red_exp,313,119,0.17703349282296665,0.009836065573770536
fig11b_device,red_exp,314,119,0.18540669856459324,0.009836065573770536
fig11b_device,red_exp,315,119,0.19377990430622027,0.009836065573770536
fig11b_device,red_exp,316,119,0.20215311004784686,0.009836065573770536
fig11b_device,red_exp,304,120,0.10167464114832514,0.006557377049180357
fig11b_device,red_exp,305,120,0.11004784688995217,0.006557377049180357
fig11b_device,red_exp,306,120,0.11842105263157876,0.006557377049180357
fig11b_device,red_exp,307,120,0.1267942583732058,0.006557377049180357
fig11b_device,red_exp,308,120,0.13516746411483282,0.006557377049180357
fig11b_device,red_exp,309,120,0.1435406698564594,0.006557377049180357
fig11b_device,red_exp,310,120,0.15191387559808645,0.006557377049180357
fig11b_device,red_exp,298,121,0.05143540669856472,0.0032786885245901787
