figure,series,pixel_x,pixel_y,voltage_V,current_mA
fig15_vteam,red_exp,797,35,1.4217391304347826,0.5461538461538461
fig15_vteam,red_exp,797,36,1.4217391304347826,0.5446153846153846
fig15_vteam,red_exp,797,37,1.4217391304347826,0.543076923076923
fig15_vteam,red_exp,797,38,1.4217391304347826,0.5415384615384615
fig15_vteam,red_exp,32,39,-1.9043478260869566,0.54
fig15_vteam,red_exp,33,39,-1.9,0.54
fig15_vteam,red_exp,797,39,1.4217391304347826,0.54
fig15_vteam,red_exp,27,40,-1.9260869565217391,0.5384615384615384
fig15_vteam,red_exp,28,40,-1.9217391304347826,0.5384615384615384
fig15_vteam,red_exp,29,40,-1.9173913043478261,0.5384615384615384
fig15_vteam,red_exp,30,40,-1.9130434782608696,0.5384615384615384
fig15_vteam,red_exp,31,40,-1.9086956521739131,0.5384615384615384
fig15_vteam,red_exp,797,40,1.4217391304347826,0.5384615384615384
fig15_vteam,red_exp,796,41,1.417391304347826,0.536923076923077
fig15_vteam,red_exp,796,42,1.417391304347826,0.5353846153846153
fig15_vteam,red_exp,796,43,1.417391304347826,0.5338461538461539
fig15_vteam,red_exp,796,44,1.417391304347826,0.5323076923076923
fig15_vteam,red_exp,796,45,1.417391304347826,0.5307692307692308
fig15_vteam,red_exp,796,46,1.417391304347826,0.5292307692307692
fig15_vteam,red_exp,796,47,1.417391304347826,0.5276923076923077
fig15_vteam,red_exp,796,48,1.417391304347826,0.5261538461538462
fig15_vteam,red_exp,796,49,1.417391304347826,0.5246153846153846
fig15_vteam,red_exp,796,50,1.417391304347826,0.5230769230769231
fig15_vteam,red_exp,796,51,1.417391304347826,0.5215384615384615
fig15_vteam,red_exp,795,52,1.4130434782608692,0.52
fig15_vteam,red_exp,795,53,1.4130434782608692,0.5184615384615384
fig15_vteam,red_exp,795,54,1.4130434782608692,0.5169230769230769
fig15_vteam,red_exp,795,55,1.4130434782608692,0.5153846153846153
fig15_vteam,red_exp,795,56,1.4130434782608692,0.5138461538461538
fig15_vteam,red_exp,795,57,1.4130434782608692,0.5123076923076924
fig15_vteam,red_exp,794,58,1.4086956521739133,0.5107692307692308
fig15_vteam,red_exp,794,59,1.4086956521739133,0.5092307692307692
fig15_vteam,red_exp,794,60,1.4086956521739133,0.5076923076923077
fig15_vteam,red_exp,794,61,1.4086956521739133,0.5061538461538462
fig15_vteam,red_exp,794,62,1.4086956521739133,0.5046153846153846
fig15_vteam,red_exp,793,63,1.4043478260869566,0.5030769230769231
fig15_vteam,red_exp,793,64,1.4043478260869566,0.5015384615384615
fig15_vteam,red_exp,793,65,1.4043478260869566,0.5
fig15_vteam,red_exp,793,66,1.4043478260869566,0.49846153846153846
fig15_vteam,red_exp,793,67,1.4043478260869566,0.4969230769230769
fig15_vteam,red_exp,793,68,1.4043478260869566,0.49538461538461537
fig15_vteam,red_exp,793,69,1.4043478260869566,0.4938461538461538
fig15_vteam,red_exp,793,70,1.4043478260869566,0.4923076923076923
fig15_vteam,red_exp,793,71,1.4043478260869566,0.49076923076923074
fig15_vteam,red_exp,792,72,1.4,0.48923076923076925
fig15_vteam,red_exp,792,73,1.4,0.48769230769230765
fig15_vteam,red_exp,792,74,1.4,0.48615384615384616
fig15_vteam,red_exp,793,75,1.4043478260869566,0.4846153846153846
fig15_vteam,red_exp,793,76,1.4043478260869566,0.48307692307692307
fig15_vteam,red_exp,793,77,1.4043478260869566,0.4815384615384615
fig15_vteam,red_exp,793,78,1.4043478260869566,0.48
fig15_vteam,red_exp,793,79,1.4043478260869566,0.47846153846153844
fig15_vteam,red_exp,792,80,1.4,0.4769230769230769
fig15_vteam,red_exp,792,81,1.4,0.47538461538461535
fig15_vteam,red_exp,792,82,1.4,0.4738461538461538
fig15_vteam,red_exp,792,83,1.4,0.4723076923076923
fig15_vteam,red_exp,792,84,1.4,0.4707692307692308
fig15_vteam,red_exp,792,85,1.4,0.46923076923076923
fig15_vteam,red_exp,791,86,1.3956521739130432,0.4676923076923077
fig15_vteam,red_exp,791,87,1.3956521739130432,0.46615384615384614
fig15_vteam,red_exp,791,88,1.3956521739130432,0.46461538461538465
fig15_vteam,red_exp,791,89,1.3956521739130432,0.46307692307692305
fig15_vteam,red_exp,791,90,1.3956521739130432,0.4615384615384615
fig15_vteam,red_exp,790,91,1.391304347826087,0.45999999999999996
fig15_vteam,red_exp,790,92,1.391304347826087,0.4584615384615385
fig15_vteam,red_exp,790,93,1.391304347826087,0.45692307692307693
fig15_vteam,red_exp,790,94,1.391304347826087,0.4553846153846154
fig15_vteam,red_exp,790,95,1.391304347826087,0.45384615384615384
fig15_vteam,red_exp,790,96,1.391304347826087,0.4523076923076923
fig15_vteam,red_exp,789,97,1.3869565217391306,0.45076923076923076
fig15_vteam,red_exp,789,98,1.3869565217391306,0.4492307692307692
fig15_vteam,red_exp,789,99,1.3869565217391306,0.44769230769230767
fig15_vteam,red_exp,789,100,1.3869565217391306,0.4461538461538461
fig15_vteam,red_exp,789,101,1.3869565217391306,0.44461538461538463
fig15_vteam,red_exp,788,102,1.382608695652174,0.4430769230769231
fig15_vteam,red_exp,788,103,1.382608695652174,0.44153846153846155
fig15_vteam,red_exp,788,104,1.382608695652174,0.43999999999999995
fig15_vteam,red_exp,788,105,1.382608695652174,0.43846153846153846
fig15_vteam,red_exp,788,106,1.382608695652174,0.4369230769230769
fig15_vteam,red_exp,788,107,1.382608695652174,0.43538461538461537
fig15_vteam,red_exp,787,108,1.3782608695652172,0.4338461538461538
fig15_vteam,red_exp,787,109,1.3782608695652172,0.4323076923076923
fig15_vteam,red_exp,787,110,1.3782608695652172,0.4307692307692308
fig15_vteam,red_exp,787,111,1.3782608695652172,0.4292307692307692
fig15_vteam,red_exp,787,112,1.3782608695652172,0.4276923076923077
fig15_vteam,red_exp,786,113,1.373913043478261,0.4261538461538461
fig15_vteam,red_exp,786,114,1.373913043478261,0.4246153846153846
