figure,series,pixel_x,pixel_y,voltage_V,current_mA
fig9_iv_fit,red_exp,688,23,1.198611111111111,0.27055999999999997
fig9_iv_fit,red_exp,689,23,1.203472222222222,0.27055999999999997
fig9_iv_fit,red_exp,690,23,1.208333333333333,0.27055999999999997
fig9_iv_fit,red_exp,691,23,1.2131944444444445,0.27055999999999997
fig9_iv_fit,red_exp,692,23,1.2180555555555554,0.27055999999999997
fig9_iv_fit,red_exp,693,23,1.2229166666666664,0.27055999999999997
fig9_iv_fit,red_exp,685,24,1.1840277777777777,0.26927999999999996
fig9_iv_fit,red_exp,686,24,1.1888888888888887,0.26927999999999996
fig9_iv_fit,red_exp,687,24,1.19375,0.26927999999999996
fig9_iv_fit,red_exp,694,24,1.2277777777777779,0.26927999999999996
fig9_iv_fit,red_exp,695,24,1.2326388888888893,0.26927999999999996
fig9_iv_fit,red_exp,696,24,1.2375000000000003,0.26927999999999996
fig9_iv_fit,red_exp,683,25,1.1743055555555557,0.268
fig9_iv_fit,red_exp,684,25,1.1791666666666667,0.268
fig9_iv_fit,red_exp,697,25,1.2423611111111112,0.268
fig9_iv_fit,red_exp,681,26,1.1645833333333333,0.26672
fig9_iv_fit,red_exp,682,26,1.1694444444444443,0.26672
fig9_iv_fit,red_exp,698,26,1.2472222222222222,0.26672
fig9_iv_fit,red_exp,680,27,1.1597222222222223,0.26544
fig9_iv_fit,red_exp,680,28,1.1597222222222223,0.26416
fig9_iv_fit,red_exp,679,29,1.1548611111111113,0.26288
fig9_iv_fit,red_exp,676,30,1.140277777777778,0.2616
fig9_iv_fit,red_exp,677,30,1.145138888888889,0.2616
fig9_iv_fit,red_exp,678,30,1.15,0.2616
fig9_iv_fit,red_exp,675,31,1.135416666666667,0.26032
fig9_iv_fit,red_exp,672,32,1.1208333333333336,0.25904
fig9_iv_fit,red_exp,673,32,1.1256944444444446,0.25904
fig9_iv_fit,red_exp,674,32,1.1305555555555555,0.25904
fig9_iv_fit,red_exp,675,32,1.135416666666667,0.25904
fig9_iv_fit,red_exp,670,33,1.1111111111111107,0.25776
fig9_iv_fit,red_exp,671,33,1.1159722222222221,0.25776
fig9_iv_fit,red_exp,676,33,1.140277777777778,0.25776
fig9_iv_fit,red_exp,669,34,1.1062499999999997,0.25648
fig9_iv_fit,red_exp,677,34,1.145138888888889,0.25648
fig9_iv_fit,red_exp,668,35,1.1013888888888888,0.2552
fig9_iv_fit,red_exp,678,35,1.15,0.2552
fig9_iv_fit,red_exp,667,36,1.0965277777777778,0.25392
fig9_iv_fit,red_exp,678,36,1.15,0.25392
fig9_iv_fit,red_exp,691,36,1.2131944444444445,0.25392
fig9_iv_fit,red_exp,666,37,1.0916666666666668,0.25264
fig9_iv_fit,red_exp,678,37,1.15,0.25264
fig9_iv_fit,red_exp,690,37,1.208333333333333,0.25264
fig9_iv_fit,red_exp,666,38,1.0916666666666668,0.25136
fig9_iv_fit,red_exp,677,38,1.145138888888889,0.25136
fig9_iv_fit,red_exp,689,38,1.203472222222222,0.25136
fig9_iv_fit,red_exp,665,39,1.0868055555555554,0.25007999999999997
fig9_iv_fit,red_exp,676,39,1.140277777777778,0.25007999999999997
fig9_iv_fit,red_exp,689,39,1.203472222222222,0.25007999999999997
fig9_iv_fit,red_exp,665,40,1.0868055555555554,0.2488
fig9_iv_fit,red_exp,675,40,1.135416666666667,0.2488
fig9_iv_fit,red_exp,688,40,1.198611111111111,0.2488
fig9_iv_fit,red_exp,663,41,1.0770833333333334,0.24752
fig9_iv_fit,red_exp,664,41,1.0819444444444444,0.24752
fig9_iv_fit,red_exp,665,41,1.0868055555555554,0.24752
fig9_iv_fit,red_exp,674,41,1.1305555555555555,0.24752
fig9_iv_fit,red_exp,688,41,1.198611111111111,0.24752
fig9_iv_fit,red_exp,661,42,1.067361111111111,0.24624
fig9_iv_fit,red_exp,662,42,1.072222222222222,0.24624
fig9_iv_fit,red_exp,666,42,1.0916666666666668,0.24624
fig9_iv_fit,red_exp,673,42,1.1256944444444446,0.24624
fig9_iv_fit,red_exp,687,42,1.19375,0.24624
fig9_iv_fit,red_exp,660,43,1.0625,0.24495999999999998
fig9_iv_fit,red_exp,667,43,1.0965277777777778,0.24495999999999998
fig9_iv_fit,red_exp,672,43,1.1208333333333336,0.24495999999999998
fig9_iv_fit,red_exp,686,43,1.1888888888888887,0.24495999999999998
fig9_iv_fit,red_exp,659,44,1.057638888888889,0.24367999999999998
fig9_iv_fit,red_exp,668,44,1.1013888888888888,0.24367999999999998
fig9_iv_fit,red_exp,669,44,1.1062499999999997,0.24367999999999998
fig9_iv_fit,red_exp,670,44,1.1111111111111107,0.24367999999999998
fig9_iv_fit,red_exp,671,44,1.1159722222222221,0.24367999999999998
fig9_iv_fit,red_exp,684,44,1.1791666666666667,0.24367999999999998
fig9_iv_fit,red_exp,685,44,1.1840277777777777,0.24367999999999998
fig9_iv_fit,red_exp,658,45,1.052777777777778,0.2424
fig9_iv_fit,red_exp,683,45,1.1743055555555557,0.2424
fig9_iv_fit,red_exp,657,46,1.0479166666666666,0.24112
fig9_iv_fit,red_exp,681,46,1.1645833333333333,0.24112
fig9_iv_fit,red_exp,682,46,1.1694444444444443,0.24112
fig9_iv_fit,red_exp,655,47,1.0381944444444446,0.23984
fig9_iv_fit,red_exp,656,47,1.0430555555555556,0.23984
fig9_iv_fit,red_exp,680,47,1.1597222222222223,0.23984
fig9_iv_fit,red_exp,653,48,1.0284722222222222,0.23856
fig9_iv_fit,red_exp,654,48,1.0333333333333332,0.23856
fig9_iv_fit,red_exp,679,48,1.1548611111111113,0.23856
fig9_iv_fit,red_exp,651,49,1.0187500000000003,0.23728
fig9_iv_fit,red_exp,652,49,1.0236111111111112,0.23728
fig9_iv_fit,red_exp,678,49,1.15,0.23728
fig9_iv_fit,red_exp,650,50,1.0138888888888893,0.236
fig9_iv_fit,red_exp,677,50,1.145138888888889,0.236
fig9_iv_fit,red_exp,649,51,1.0090277777777779,0.23471999999999998
fig9_iv_fit,red_exp,676,51,1.140277777777778,0.23471999999999998
fig9_iv_fit,red_exp,649,52,1.0090277777777779,0.23343999999999998
fig9_iv_fit,red_exp,675,52,1.135416666666667,0.23343999999999998
fig9_iv_fit,red_exp,648,53,1.0041666666666664,0.23215999999999998
fig9_iv_fit,red_exp,675,53,1.135416666666667,0.23215999999999998
fig9_iv_fit,red_exp,646,54,0.9944444444444445,0.23087999999999997
fig9_iv_fit,red_exp,647,54,0.9993055555555554,0.23087999999999997
fig9_iv_fit,red_exp,673,54,1.1256944444444446,0.23087999999999997
fig9_iv_fit,red_exp,674,54,1.1305555555555555,0.23087999999999997
fig9_iv_fit,red_exp,645,55,0.989583333333333,0.22959999999999997
fig9_iv_fit,red_exp,672,55,1.1208333333333336,0.22959999999999997
fig9_iv_fit,red_exp,644,56,0.984722222222222,0.22831999999999997
fig9_iv_fit,red_exp,671,56,1.1159722222222221,0.22831999999999997
fig9_iv_fit,red_exp,644,57,0.984722222222222,0.22703999999999996
fig9_iv_fit,red_exp,670,57,1.1111111111111107,0.22703999999999996
fig9_iv_fit,red_exp,643,58,0.9798611111111111,0.22576
fig9_iv_fit,red_exp,669,58,1.1062499999999997,0.22576
fig9_iv_fit,red_exp,641,59,0.9701388888888887,0.22447999999999999
fig9_iv_fit,red_exp,642,59,0.9750000000000001,0.22447999999999999
fig9_iv_fit,red_exp,668,59,1.1013888888888888,0.22447999999999999
fig9_iv_fit,red_exp,640,60,0.9652777777777777,0.22319999999999998
fig9_iv_fit,red_exp,667,60,1.0965277777777778,0.22319999999999998
fig9_iv_fit,red_exp,639,61,0.9604166666666667,0.22191999999999998
fig9_iv_fit,red_exp,666,61,1.0916666666666668,0.22191999999999998
fig9_iv_fit,red_exp,638,62,0.9555555555555557,0.22064
fig9_iv_fit,red_exp,665,62,1.0868055555555554,0.22064
fig9_iv_fit,red_exp,637,63,0.9506944444444443,0.21936
fig9_iv_fit,red_exp,664,63,1.0819444444444444,0.21936
fig9_iv_fit,red_exp,635,64,0.9409722222222223,0.21808
fig9_iv_fit,red_exp,636,64,0.9458333333333333,0.21808
fig9_iv_fit,red_exp,663,64,1.0770833333333334,0.21808
fig9_iv_fit,red_exp,634,65,0.9361111111111113,0.2168
fig9_iv_fit,red_exp,662,65,1.072222222222222,0.2168
fig9_iv_fit,red_exp,632,66,0.9263888888888889,0.21552
fig9_iv_fit,red_exp,633,66,0.9312499999999999,0.21552
fig9_iv_fit,red_exp,661,66,1.067361111111111,0.21552
fig9_iv_fit,red_exp,631,67,0.921527777777778,0.21423999999999999
fig9_iv_fit,red_exp,660,67,1.0625,0.21423999999999999
fig9_iv_fit,red_exp,630,68,0.916666666666667,0.21295999999999998
fig9_iv_fit,red_exp,658,68,1.052777777777778,0.21295999999999998
fig9_iv_fit,red_exp,659,68,1.057638888888889,0.21295999999999998
fig9_iv_fit,red_exp,629,69,0.9118055555555555,0.21167999999999998
fig9_iv_fit,red_exp,657,69,1.0479166666666666,0.21167999999999998
fig9_iv_fit,red_exp,628,70,0.9069444444444446,0.21039999999999998
fig9_iv_fit,red_exp,647,70,0.9993055555555554,0.21039999999999998
fig9_iv_fit,red_exp,656,70,1.0430555555555556,0.21039999999999998
fig9_iv_fit,red_exp,627,71,0.9020833333333336,0.20911999999999997
fig9_iv_fit,red_exp,646,71,0.9944444444444445,0.20911999999999997
fig9_iv_fit,red_exp,655,71,1.0381944444444446,0.20911999999999997
fig9_iv_fit,red_exp,626,72,0.8972222222222221,0.20783999999999997
fig9_iv_fit,red_exp,646,72,0.9944444444444445,0.20783999999999997
fig9_iv_fit,red_exp,655,72,1.0381944444444446,0.20783999999999997
fig9_iv_fit,red_exp,625,73,0.8923611111111107,0.20655999999999997
fig9_iv_fit,red_exp,645,73,0.989583333333333,0.20655999999999997
fig9_iv_fit,red_exp,655,73,1.0381944444444446,0.20655999999999997
fig9_iv_fit,red_exp,623,74,0.8826388888888888,0.20527999999999996
fig9_iv_fit,red_exp,624,74,0.8874999999999997,0.20527999999999996
fig9_iv_fit,red_exp,645,74,0.989583333333333,0.20527999999999996
fig9_iv_fit,red_exp,654,74,1.0333333333333332,0.20527999999999996
fig9_iv_fit,red_exp,622,75,0.8777777777777778,0.204
fig9_iv_fit,red_exp,645,75,0.989583333333333,0.204
fig9_iv_fit,red_exp,653,75,1.0284722222222222,0.204
fig9_iv_fit,red_exp,621,76,0.8729166666666668,0.20271999999999998
fig9_iv_fit,red_exp,644,76,0.984722222222222,0.20271999999999998
fig9_iv_fit,red_exp,653,76,1.0284722222222222,0.20271999999999998
fig9_iv_fit,red_exp,620,77,0.8680555555555554,0.20143999999999998
fig9_iv_fit,red_exp,644,77,0.984722222222222,0.20143999999999998
fig9_iv_fit,red_exp,653,77,1.0284722222222222,0.20143999999999998
fig9_iv_fit,red_exp,619,78,0.8631944444444444,0.20016
fig9_iv_fit,red_exp,643,78,0.9798611111111111,0.20016
fig9_iv_fit,red_exp,652,78,1.0236111111111112,0.20016
fig9_iv_fit,red_exp,618,79,0.8583333333333334,0.19887999999999997
fig9_iv_fit,red_exp,642,79,0.9750000000000001,0.19887999999999997
fig9_iv_fit,red_exp,652,79,1.0236111111111112,0.19887999999999997
fig9_iv_fit,red_exp,617,80,0.853472222222222,0.1976
fig9_iv_fit,red_exp,642,80,0.9750000000000001,0.1976
fig9_iv_fit,red_exp,651,80,1.0187500000000003,0.1976
fig9_iv_fit,red_exp,616,81,0.848611111111111,0.19632
fig9_iv_fit,red_exp,642,81,0.9750000000000001,0.19632
fig9_iv_fit,red_exp,651,81,1.0187500000000003,0.19632
fig9_iv_fit,red_exp,614,82,0.838888888888889,0.19504
fig9_iv_fit,red_exp,615,82,0.84375,0.19504
fig9_iv_fit,red_exp,642,82,0.9750000000000001,0.19504
fig9_iv_fit,red_exp,651,82,1.0187500000000003,0.19504
fig9_iv_fit,red_exp,612,83,0.8291666666666666,0.19376
fig9_iv_fit,red_exp,613,83,0.834027777777778,0.19376
fig9_iv_fit,red_exp,642,83,0.9750000000000001,0.19376
fig9_iv_fit,red_exp,651,83,1.0187500000000003,0.19376
fig9_iv_fit,red_exp,611,84,0.8243055555555556,0.19247999999999998
fig9_iv_fit,red_exp,641,84,0.9701388888888887,0.19247999999999998
fig9_iv_fit,red_exp,609,85,0.8145833333333332,0.19119999999999998
fig9_iv_fit,red_exp,610,85,0.8194444444444446,0.19119999999999998
fig9_iv_fit,red_exp,641,85,0.9701388888888887,0.19119999999999998
fig9_iv_fit,red_exp,608,86,0.8097222222222222,0.18991999999999998
fig9_iv_fit,red_exp,639,86,0.9604166666666667,0.18991999999999998
fig9_iv_fit,red_exp,640,86,0.9652777777777777,0.18991999999999998
fig9_iv_fit,red_exp,607,87,0.8048611111111112,0.18863999999999997
fig9_iv_fit,red_exp,638,87,0.9555555555555557,0.18863999999999997
fig9_iv_fit,red_exp,606,88,0.8000000000000003,0.18735999999999997
fig9_iv_fit,red_exp,637,88,0.9506944444444443,0.18735999999999997
fig9_iv_fit,red_exp,605,89,0.7951388888888893,0.18607999999999997
fig9_iv_fit,red_exp,637,89,0.9506944444444443,0.18607999999999997
fig9_iv_fit,red_exp,604,90,0.7902777777777779,0.1848
fig9_iv_fit,red_exp,636,90,0.9458333333333333,0.1848
fig9_iv_fit,red_exp,603,91,0.7854166666666664,0.18351999999999996
fig9_iv_fit,red_exp,636,91,0.9458333333333333,0.18351999999999996
fig9_iv_fit,red_exp,602,92,0.7805555555555554,0.18223999999999999
fig9_iv_fit,red_exp,635,92,0.9409722222222223,0.18223999999999999
fig9_iv_fit,red_exp,600,93,0.770833333333333,0.18096
fig9_iv_fit,red_exp,601,93,0.7756944444444445,0.18096
fig9_iv_fit,red_exp,598,94,0.7611111111111111,0.17967999999999998
fig9_iv_fit,red_exp,599,94,0.765972222222222,0.17967999999999998
fig9_iv_fit,red_exp,597,95,0.7562500000000001,0.1784
fig9_iv_fit,red_exp,596,96,0.7513888888888887,0.17712
fig9_iv_fit,red_exp,595,97,0.7465277777777777,0.17584
fig9_iv_fit,red_exp,593,98,0.7368055555555557,0.17456
fig9_iv_fit,red_exp,594,98,0.7416666666666667,0.17456
fig9_iv_fit,red_exp,592,99,0.7319444444444443,0.17327999999999996
fig9_iv_fit,red_exp,590,100,0.7222222222222223,0.172
fig9_iv_fit,red_exp,591,100,0.7270833333333333,0.172
fig9_iv_fit,red_exp,588,101,0.7124999999999999,0.17071999999999998
fig9_iv_fit,red_exp,589,101,0.7173611111111113,0.17071999999999998
fig9_iv_fit,red_exp,587,102,0.7076388888888889,0.16943999999999998
fig9_iv_fit,red_exp,586,103,0.702777777777778,0.16815999999999998
fig9_iv_fit,red_exp,586,104,0.702777777777778,0.16688
fig9_iv_fit,red_exp,585,105,0.697916666666667,0.16559999999999997
fig9_iv_fit,red_exp,584,106,0.6930555555555555,0.16432
fig9_iv_fit,red_exp,583,107,0.6881944444444446,0.16304
fig9_iv_fit,red_exp,582,108,0.6833333333333336,0.16176
fig9_iv_fit,red_exp,580,109,0.6736111111111107,0.16047999999999998
fig9_iv_fit,red_exp,581,109,0.6784722222222221,0.16047999999999998
fig9_iv_fit,red_exp,579,110,0.6687499999999997,0.15919999999999998
fig9_iv_fit,red_exp,578,111,0.6638888888888888,0.15791999999999998
fig9_iv_fit,red_exp,577,112,0.6590277777777778,0.15663999999999997
fig9_iv_fit,red_exp,576,113,0.6541666666666668,0.15536
fig9_iv_fit,red_exp,574,114,0.6444444444444444,0.15407999999999997
fig9_iv_fit,red_exp,575,114,0.6493055555555554,0.15407999999999997
fig9_iv_fit,red_exp,571,115,0.629861111111111,0.1528
fig9_iv_fit,red_exp,572,115,0.634722222222222,0.1528
fig9_iv_fit,red_exp,573,115,0.6395833333333334,0.1528
fig9_iv_fit,red_exp,570,116,0.625,0.15152
fig9_iv_fit,red_exp,569,117,0.620138888888889,0.15023999999999998
fig9_iv_fit,red_exp,568,118,0.615277777777778,0.14895999999999998
fig9_iv_fit,red_exp,567,119,0.6104166666666666,0.14767999999999998
fig9_iv_fit,red_exp,566,120,0.6055555555555556,0.14639999999999997
fig9_iv_fit,red_exp,566,121,0.6055555555555556,0.14511999999999997
fig9_iv_fit,red_exp,565,122,0.6006944444444446,0.14383999999999997
fig9_iv_fit,red_exp,563,123,0.5909722222222222,0.14255999999999996
fig9_iv_fit,red_exp,564,123,0.5958333333333332,0.14255999999999996
fig9_iv_fit,red_exp,562,124,0.5861111111111112,0.14128
fig9_iv_fit,red_exp,560,125,0.5763888888888893,0.13999999999999996
fig9_iv_fit,red_exp,561,125,0.5812500000000003,0.13999999999999996
fig9_iv_fit,red_exp,558,126,0.5666666666666664,0.13871999999999998
fig9_iv_fit,red_exp,559,126,0.5715277777777779,0.13871999999999998
fig9_iv_fit,red_exp,557,127,0.5618055555555554,0.13743999999999998
fig9_iv_fit,red_exp,556,128,0.5569444444444445,0.13615999999999998
fig9_iv_fit,red_exp,555,129,0.552083333333333,0.13487999999999997
fig9_iv_fit,red_exp,553,130,0.5423611111111111,0.1336
fig9_iv_fit,red_exp,554,130,0.547222222222222,0.1336
fig9_iv_fit,red_exp,551,131,0.5326388888888887,0.13231999999999997
fig9_iv_fit,red_exp,552,131,0.5375000000000001,0.13231999999999997
fig9_iv_fit,red_exp,550,132,0.5277777777777777,0.13104
fig9_iv_fit,red_exp,549,133,0.5229166666666667,0.12976
fig9_iv_fit,red_exp,548,134,0.5180555555555557,0.12847999999999998
fig9_iv_fit,red_exp,547,135,0.5131944444444443,0.12719999999999998
fig9_iv_fit,red_exp,546,136,0.5083333333333333,0.12591999999999998
fig9_iv_fit,red_exp,545,137,0.5034722222222223,0.12463999999999997
fig9_iv_fit,red_exp,544,138,0.49861111111111134,0.12335999999999997
fig9_iv_fit,red_exp,543,139,0.4937499999999999,0.12208
fig9_iv_fit,red_exp,542,140,0.48888888888888893,0.12079999999999996
fig9_iv_fit,red_exp,555,140,0.552083333333333,0.12079999999999996
fig9_iv_fit,red_exp,541,141,0.48402777777777795,0.11951999999999999
fig9_iv_fit,red_exp,554,141,0.547222222222222,0.11951999999999999
fig9_iv_fit,red_exp,540,142,0.47916666666666696,0.11823999999999996
fig9_iv_fit,red_exp,553,142,0.5423611111111111,0.11823999999999996
fig9_iv_fit,red_exp,537,143,0.46458333333333357,0.11695999999999998
fig9_iv_fit,red_exp,538,143,0.46944444444444455,0.11695999999999998
fig9_iv_fit,red_exp,539,143,0.47430555555555554,0.11695999999999998
fig9_iv_fit,red_exp,552,143,0.5375000000000001,0.11695999999999998
fig9_iv_fit,red_exp,536,144,0.45972222222222214,0.11567999999999998
fig9_iv_fit,red_exp,535,145,0.4548611111111107,0.11439999999999997
fig9_iv_fit,red_exp,534,146,0.44999999999999973,0.11311999999999997
fig9_iv_fit,red_exp,533,147,0.44513888888888875,0.11184
fig9_iv_fit,red_exp,531,148,0.4354166666666668,0.11055999999999996
fig9_iv_fit,red_exp,532,148,0.44027777777777777,0.11055999999999996
fig9_iv_fit,red_exp,530,149,0.43055555555555536,0.10927999999999999
fig9_iv_fit,red_exp,528,150,0.4208333333333334,0.10799999999999998
fig9_iv_fit,red_exp,529,150,0.4256944444444444,0.10799999999999998
fig9_iv_fit,red_exp,543,150,0.4937499999999999,0.10799999999999998
fig9_iv_fit,red_exp,544,150,0.49861111111111134,0.10799999999999998
fig9_iv_fit,red_exp,527,151,0.41597222222222197,0.10671999999999998
fig9_iv_fit,red_exp,527,152,0.41597222222222197,0.10543999999999998
fig9_iv_fit,red_exp,526,153,0.411111111111111,0.10415999999999997
fig9_iv_fit,red_exp,525,154,0.40625,0.10287999999999997
fig9_iv_fit,red_exp,524,155,0.401388888888889,0.10159999999999997
fig9_iv_fit,red_exp,535,155,0.4548611111111107,0.10159999999999997
fig9_iv_fit,red_exp,536,155,0.45972222222222214,0.10159999999999997
fig9_iv_fit,red_exp,522,156,0.3916666666666666,0.10031999999999999
fig9_iv_fit,red_exp,523,156,0.39652777777777803,0.10031999999999999
fig9_iv_fit,red_exp,534,156,0.44999999999999973,0.10031999999999999
fig9_iv_fit,red_exp,520,157,0.38194444444444464,0.09903999999999999
fig9_iv_fit,red_exp,521,157,0.3868055555555556,0.09903999999999999
fig9_iv_fit,red_exp,533,157,0.44513888888888875,0.09903999999999999
fig9_iv_fit,red_exp,518,158,0.37222222222222223,0.09775999999999996
fig9_iv_fit,red_exp,519,158,0.3770833333333332,0.09775999999999996
fig9_iv_fit,red_exp,532,158,0.44027777777777777,0.09775999999999996
fig9_iv_fit,red_exp,517,159,0.36736111111111125,0.09647999999999995
fig9_iv_fit,red_exp,531,159,0.4354166666666668,0.09647999999999995
fig9_iv_fit,red_exp,516,160,0.36250000000000027,0.09519999999999998
fig9_iv_fit,red_exp,530,160,0.43055555555555536,0.09519999999999998
fig9_iv_fit,red_exp,514,161,0.35277777777777786,0.09391999999999998
fig9_iv_fit,red_exp,515,161,0.3576388888888893,0.09391999999999998
fig9_iv_fit,red_exp,529,161,0.4256944444444444,0.09391999999999998
fig9_iv_fit,red_exp,512,162,0.34305555555555545,0.09264
fig9_iv_fit,red_exp,513,162,0.34791666666666643,0.09264
fig9_iv_fit,red_exp,528,162,0.4208333333333334,0.09264
