on_off_ratio,conductance_window,device_variation,adc_bits,accuracy,macro_f1,accuracy_drop,f1_drop
50,0.5,0.03,4,0.53125,0.4875,0.0,0.0
50,0.5,0.03,6,0.5,0.359375,0.03125,0.128125
50,0.5,0.03,8,0.5,0.359375,0.03125,0.128125
50,0.5,0.08,4,0.53125,0.4875,0.0,0.0
50,0.5,0.08,6,0.5,0.359375,0.03125,0.128125
50,0.5,0.08,8,0.5,0.359375,0.03125,0.128125
50,1.0,0.03,4,0.53125,0.4875,0.0,0.0
50,1.0,0.03,6,0.53125,0.4875,0.0,0.0
50,1.0,0.03,8,0.53125,0.4875,0.0,0.0
50,1.0,0.08,4,0.53125,0.4875,0.0,0.0
50,1.0,0.08,6,0.5,0.359375,0.03125,0.128125
50,1.0,0.08,8,0.5,0.359375,0.03125,0.128125
50,2.0,0.03,4,0.53125,0.4875,0.0,0.0
50,2.0,0.03,6,0.53125,0.4875,0.0,0.0
50,2.0,0.03,8,0.53125,0.4875,0.0,0.0
50,2.0,0.08,4,0.53125,0.4875,0.0,0.0
50,2.0,0.08,6,0.53125,0.4875,0.0,0.0
50,2.0,0.08,8,0.5,0.359375,0.03125,0.128125
100,0.5,0.03,4,0.53125,0.4875,0.0,0.0
100,0.5,0.03,6,0.53125,0.4875,0.0,0.0
100,0.5,0.03,8,0.53125,0.4875,0.0,0.0
100,0.5,0.08,4,0.53125,0.4875,0.0,0.0
100,0.5,0.08,6,0.53125,0.4875,0.0,0.0
100,0.5,0.08,8,0.5,0.359375,0.03125,0.128125
100,1.0,0.03,4,0.53125,0.4875,0.0,0.0
100,1.0,0.03,6,0.53125,0.4875,0.0,0.0
100,1.0,0.03,8,0.53125,0.4875,0.0,0.0
100,1.0,0.08,4,0.53125,0.4875,0.0,0.0
100,1.0,0.08,6,0.53125,0.4875,0.0,0.0
100,1.0,0.08,8,0.53125,0.4875,0.0,0.0
100,2.0,0.03,4,0.53125,0.4875,0.0,0.0
100,2.0,0.03,6,0.53125,0.4875,0.0,0.0
100,2.0,0.03,8,0.53125,0.4875,0.0,0.0
100,2.0,0.08,4,0.53125,0.4875,0.0,0.0
100,2.0,0.08,6,0.53125,0.4875,0.0,0.0
100,2.0,0.08,8,0.53125,0.4875,0.0,0.0
300,0.5,0.03,4,0.53125,0.4875,0.0,0.0
300,0.5,0.03,6,0.53125,0.4875,0.0,0.0
300,0.5,0.03,8,0.53125,0.4875,0.0,0.0
300,0.5,0.08,4,0.53125,0.4875,0.0,0.0
300,0.5,0.08,6,0.53125,0.4875,0.0,0.0
300,0.5,0.08,8,0.53125,0.4875,0.0,0.0
300,1.0,0.03,4,0.53125,0.4875,0.0,0.0
300,1.0,0.03,6,0.53125,0.4875,0.0,0.0
300,1.0,0.03,8,0.53125,0.4875,0.0,0.0
300,1.0,0.08,4,0.53125,0.4875,0.0,0.0
300,1.0,0.08,6,0.53125,0.4875,0.0,0.0
300,1.0,0.08,8,0.53125,0.4875,0.0,0.0
300,2.0,0.03,4,0.53125,0.4875,0.0,0.0
300,2.0,0.03,6,0.53125,0.4875,0.0,0.0
300,2.0,0.03,8,0.53125,0.4875,0.0,0.0
300,2.0,0.08,4,0.53125,0.4875,0.0,0.0
300,2.0,0.08,6,0.53125,0.4875,0.0,0.0
300,2.0,0.08,8,0.53125,0.4875,0.0,0.0
1000,0.5,0.03,4,0.5,0.46185064935064934,0.03125,0.025649350649350644
1000,0.5,0.03,6,0.53125,0.4875,0.0,0.0
1000,0.5,0.03,8,0.53125,0.4875,0.0,0.0
1000,0.5,0.08,4,0.53125,0.4875,0.0,0.0
1000,0.5,0.08,6,0.53125,0.4875,0.0,0.0
1000,0.5,0.08,8,0.53125,0.4875,0.0,0.0
1000,1.0,0.03,4,0.5,0.46185064935064934,0.03125,0.025649350649350644
1000,1.0,0.03,6,0.53125,0.4875,0.0,0.0
1000,1.0,0.03,8,0.53125,0.4875,0.0,0.0
1000,1.0,0.08,4,0.53125,0.4875,0.0,0.0
1000,1.0,0.08,6,0.53125,0.4875,0.0,0.0
1000,1.0,0.08,8,0.53125,0.4875,0.0,0.0
1000,2.0,0.03,4,0.5,0.46185064935064934,0.03125,0.025649350649350644
1000,2.0,0.03,6,0.53125,0.4875,0.0,0.0
1000,2.0,0.03,8,0.53125,0.4875,0.0,0.0
1000,2.0,0.08,4,0.53125,0.4875,0.0,0.0
1000,2.0,0.08,6,0.53125,0.4875,0.0,0.0
1000,2.0,0.08,8,0.53125,0.4875,0.0,0.0
